Date,TIGER 구리실물
2018-06-12,7445.0
2018-06-14,7415.0
2018-06-15,7530.0
2018-06-18,7505.0
2018-06-19,7365.0
2018-06-20,7240.0
2018-06-21,7235.0
2018-06-22,7265.0
2018-06-25,7305.0
2018-06-26,7270.0
2018-06-27,7170.0
2018-06-28,7185.0
2018-06-29,7150.0
2018-07-02,7100.0
2018-07-03,7075.0
2018-07-04,7135.0
2018-07-05,6795.0
2018-07-06,6825.0
2018-07-09,6880.0
2018-07-10,6880.0
2018-07-11,6620.0
2018-07-12,6760.0
2018-07-13,6670.0
2018-07-16,6695.0
2018-07-17,6685.0
2018-07-18,6640.0
2018-07-19,6565.0
2018-07-20,6550.0
2018-07-23,6560.0
2018-07-24,6740.0
2018-07-25,6680.0
2018-07-26,6745.0
2018-07-27,6710.0
2018-07-30,6645.0
2018-07-31,6660.0
2018-08-01,6615.0
2018-08-02,6650.0
2018-08-03,6535.0
2018-08-06,6625.0
2018-08-07,6575.0
2018-08-08,6630.0
2018-08-09,6595.0
2018-08-10,6735.0
2018-08-13,6670.0
2018-08-14,6605.0
2018-08-16,6425.0
2018-08-17,6325.0
2018-08-20,6350.0
2018-08-21,6460.0
2018-08-22,6400.0
2018-08-23,6375.0
2018-08-24,6390.0
2018-08-27,6400.0
2018-08-28,6380.0
2018-08-29,6425.0
2018-08-30,6415.0
2018-08-31,6450.0
2018-09-03,6400.0
2018-09-04,6310.0
2018-09-05,6255.0
2018-09-06,6330.0
2018-09-07,6340.0
2018-09-10,6350.0
2018-09-11,6340.0
2018-09-12,6320.0
2018-09-13,6400.0
2018-09-14,6470.0
2018-09-17,6405.0
2018-09-18,6360.0
2018-09-19,6490.0
2018-09-20,6470.0
2018-09-21,6550.0
2018-09-27,6620.0
2018-09-28,6620.0
2018-10-01,6520.0
2018-10-02,6570.0
2018-10-04,6790.0
2018-10-05,6840.0
2018-10-08,6695.0
