Date,TIGER 모멘텀
2017-08-30,24035.0
2017-08-31,23860.0
2017-09-01,23690.0
2017-09-04,23475.0
2017-09-05,23245.0
2017-09-06,23095.0
2017-09-07,23440.0
2017-09-08,23280.0
2017-09-11,23570.0
2017-09-12,23655.0
2017-09-13,23840.0
2017-09-14,23915.0
2017-09-15,23950.0
2017-09-18,24180.0
2017-09-19,24160.0
2017-09-20,23860.0
2017-09-21,23650.0
2017-09-22,23215.0
2017-09-25,22925.0
2017-09-26,22945.0
2017-09-27,22930.0
2017-09-28,22840.0
2017-09-29,23040.0
2017-10-10,23380.0
2017-10-11,23625.0
2017-10-12,23620.0
2017-10-13,23590.0
2017-10-16,23385.0
2017-10-17,23400.0
2017-10-18,23460.0
2017-10-19,23430.0
2017-10-20,23605.0
2017-10-23,23615.0
2017-10-24,23605.0
2017-10-25,23750.0
2017-10-26,23510.0
2017-10-27,23600.0
2017-10-30,23705.0
2017-10-31,23735.0
2017-11-01,24055.0
2017-11-02,23820.0
2017-11-03,23925.0
2017-11-06,23915.0
2017-11-07,23885.0
2017-11-08,24015.0
2017-11-09,23915.0
2017-11-10,23885.0
2017-11-13,23550.0
2017-11-14,23780.0
2017-11-15,23765.0
2017-11-16,23990.0
2017-11-17,23930.0
2017-11-20,23960.0
2017-11-21,24005.0
2017-11-22,24130.0
2017-11-23,24180.0
2017-11-24,24205.0
2017-11-27,24110.0
2017-11-28,24030.0
2017-11-29,24045.0
2017-11-30,23905.0
2017-12-01,23700.0
2017-12-04,23845.0
2017-12-05,23995.0
2017-12-06,23770.0
2017-12-07,23550.0
2017-12-08,23495.0
2017-12-11,23705.0
2017-12-12,23560.0
2017-12-13,24000.0
2017-12-14,24230.0
2017-12-15,24265.0
2017-12-18,24235.0
2017-12-19,24155.0
2017-12-20,24420.0
2017-12-21,24110.0
2017-12-22,24220.0
2017-12-26,24290.0
2017-12-27,24650.0
2017-12-28,24800.0
2018-01-02,24920.0
2018-01-03,25090.0
2018-01-04,24885.0
2018-01-05,25420.0
2018-01-08,25665.0
2018-01-09,25675.0
2018-01-10,26135.0
2018-01-11,26105.0
2018-01-12,26485.0
