Date,KODEX 구리선물(H)
2016-11-10,5530.0
2016-11-11,5680.0
2016-11-14,5530.0
2016-11-15,5420.0
2016-11-16,5435.0
2016-11-17,5345.0
2016-11-18,5390.0
2016-11-21,5510.0
2016-11-22,5605.0
2016-11-23,5575.0
2016-11-24,5865.0
2016-11-25,5820.0
2016-11-28,5915.0
2016-11-29,5705.0
2016-11-30,5620.0
2016-12-01,5760.0
2016-12-02,5680.0
2016-12-05,5770.0
2016-12-06,5815.0
2016-12-07,5860.0
2016-12-08,5765.0
2016-12-09,5765.0
2016-12-12,5790.0
2016-12-13,5660.0
2016-12-14,5630.0
2016-12-15,5685.0
2016-12-16,5655.0
2016-12-19,5535.0
2016-12-20,5420.0
2016-12-21,5455.0
2016-12-22,5390.0
2016-12-23,5450.0
2016-12-26,5435.0
2016-12-27,5380.0
2016-12-28,5465.0
2016-12-29,5465.0
2017-01-02,5485.0
2017-01-03,5500.0
2017-01-04,5445.0
2017-01-05,5595.0
2017-01-06,5515.0
2017-01-09,5525.0
2017-01-10,5560.0
2017-01-11,5690.0
2017-01-12,5675.0
2017-01-13,5720.0
2017-01-16,5790.0
2017-01-17,5695.0
2017-01-18,5705.0
2017-01-19,5705.0
2017-01-20,5640.0
2017-01-23,5745.0
2017-01-24,5735.0
2017-01-25,5865.0
2017-01-26,5895.0
2017-01-31,5780.0
2017-02-01,5880.0
2017-02-02,5890.0
2017-02-03,5750.0
2017-02-06,5700.0
2017-02-07,5730.0
2017-02-08,5790.0
2017-02-09,5785.0
2017-02-10,5760.0
2017-02-13,6075.0
2017-02-14,6090.0
2017-02-15,5955.0
2017-02-16,5940.0
2017-02-17,5885.0
2017-02-20,5905.0
2017-02-21,5905.0
2017-02-22,5910.0
2017-02-23,5840.0
2017-02-24,5775.0
2017-02-27,5760.0
2017-02-28,5805.0
2017-03-02,5900.0
2017-03-03,5795.0
2017-03-06,5775.0
2017-03-07,5730.0
2017-03-08,5675.0
2017-03-09,5555.0
2017-03-10,5560.0
2017-03-13,5640.0
2017-03-14,5665.0
2017-03-15,5700.0
2017-03-16,5780.0
2017-03-17,5735.0
2017-03-20,5730.0
2017-03-21,5660.0
2017-03-22,5615.0
2017-03-23,5655.0
2017-03-24,5655.0
2017-03-27,5595.0
2017-03-28,5645.0
2017-03-29,5725.0
2017-03-30,5710.0
2017-03-31,5750.0
2017-04-03,5715.0
2017-04-04,5600.0
2017-04-05,5690.0
2017-04-06,5745.0
2017-04-07,5710.0
2017-04-10,5650.0
2017-04-11,5605.0
2017-04-12,5595.0
2017-04-13,5545.0
2017-04-14,5600.0
2017-04-17,5555.0
2017-04-18,5500.0
2017-04-19,5480.0
2017-04-20,5415.0
2017-04-21,5500.0
2017-04-24,5480.0
2017-04-25,5510.0
2017-04-26,5560.0
2017-04-27,5535.0
2017-04-28,5520.0
2017-05-02,5610.0
2017-05-04,5400.0
2017-05-08,5365.0
