Date,TIGER 원유선물Enhanced(H)
2017-06-16,3745.0
2017-06-19,3745.0
2017-06-20,3710.0
2017-06-21,3640.0
2017-06-22,3555.0
2017-06-23,3590.0
2017-06-26,3640.0
2017-06-27,3635.0
2017-06-28,3680.0
2017-06-29,3750.0
2017-06-30,3760.0
2017-07-03,3830.0
2017-07-04,3870.0
2017-07-05,3870.0
2017-07-06,3790.0
2017-07-07,3750.0
2017-07-10,3690.0
2017-07-11,3740.0
2017-07-12,3800.0
2017-07-13,3750.0
2017-07-14,3775.0
2017-07-17,3795.0
2017-07-18,3775.0
2017-07-19,3765.0
2017-07-20,3820.0
2017-07-21,3805.0
2017-07-24,3750.0
2017-07-25,3770.0
2017-07-26,3850.0
2017-07-27,3865.0
2017-07-28,3880.0
2017-07-31,3900.0
2017-08-01,3945.0
2017-08-02,3870.0
2017-08-03,3880.0
2017-08-04,3860.0
2017-08-07,3915.0
2017-08-08,3905.0
2017-08-09,3885.0
2017-08-10,3935.0
2017-08-11,3830.0
2017-08-14,3855.0
2017-08-16,3785.0
2017-08-17,3720.0
2017-08-18,3740.0
2017-08-21,3830.0
2017-08-22,3780.0
2017-08-23,3775.0
2017-08-24,3810.0
2017-08-25,3785.0
2017-08-28,3780.0
2017-08-29,3705.0
2017-08-30,3675.0
2017-08-31,3640.0
2017-09-01,3700.0
2017-09-04,3740.0
2017-09-05,3755.0
2017-09-06,3820.0
2017-09-07,3835.0
2017-09-08,3855.0
2017-09-11,3805.0
2017-09-12,3815.0
2017-09-13,3815.0
2017-09-14,3815.0
2017-09-15,3855.0
2017-09-18,3885.0
2017-09-19,3860.0
2017-09-20,3860.0
2017-09-21,3865.0
2017-09-22,3880.0
2017-09-25,3870.0
2017-09-26,3915.0
2017-09-27,3940.0
2017-09-28,3925.0
2017-09-29,3900.0
2017-10-10,3830.0
2017-10-11,3875.0
2017-10-12,3895.0
2017-10-13,3895.0
2017-10-16,3935.0
2017-10-17,3915.0
2017-10-18,3915.0
2017-10-19,3915.0
2017-10-20,3890.0
2017-10-23,3915.0
2017-10-24,3885.0
2017-10-25,3925.0
2017-10-26,3920.0
2017-10-27,3940.0
2017-10-30,3990.0
2017-10-31,4000.0
2017-11-01,4020.0
2017-11-02,3980.0
2017-11-03,4020.0
2017-11-06,4085.0
2017-11-07,4180.0
2017-11-08,4160.0
2017-11-09,4160.0
2017-11-10,4175.0
2017-11-13,4165.0
2017-11-14,4140.0
2017-11-15,4020.0
2017-11-16,4050.0
2017-11-17,4045.0
2017-11-20,4130.0
2017-11-21,4115.0
2017-11-22,4195.0
2017-11-23,4210.0
2017-11-24,4255.0
2017-11-27,4265.0
2017-11-28,4210.0
2017-11-29,4200.0
2017-11-30,4180.0
2017-12-01,4195.0
2017-12-04,4210.0
2017-12-05,4180.0
2017-12-06,4175.0
2017-12-07,4085.0
2017-12-08,4115.0
2017-12-11,4165.0
2017-12-12,4245.0
2017-12-13,4205.0
2017-12-14,4140.0
2017-12-15,4155.0
2017-12-18,4190.0
2017-12-19,4165.0
2017-12-20,4195.0
2017-12-21,4215.0
2017-12-22,4225.0
2017-12-26,4250.0
2017-12-27,4340.0
2017-12-28,4340.0
2018-01-02,4410.0
2018-01-03,4380.0
2018-01-04,4505.0
2018-01-05,4490.0
2018-01-08,4470.0
2018-01-09,4515.0
2018-01-10,4600.0
2018-01-11,4600.0
2018-01-12,4610.0
2018-01-15,4670.0
2018-01-16,4685.0
2018-01-17,4625.0
2018-01-18,4640.0
2018-01-19,4585.0
2018-01-22,4600.0
2018-01-23,4655.0
2018-01-24,4690.0
2018-01-25,4810.0
2018-01-26,4745.0
2018-01-29,4810.0
2018-01-30,4715.0
2018-01-31,4640.0
2018-02-01,4710.0
2018-02-02,4795.0
2018-02-05,4720.0
2018-02-06,4610.0
2018-02-07,4625.0
2018-02-08,4490.0
2018-02-09,4395.0
2018-02-12,4335.0
2018-02-13,4325.0
2018-02-14,4310.0
2018-02-19,4530.0
2018-02-20,4520.0
2018-02-21,4460.0
2018-02-22,4440.0
2018-02-23,4565.0
2018-02-26,4650.0
2018-02-27,4640.0
2018-02-28,4570.0
2018-03-02,4450.0
2018-03-05,4460.0
2018-03-06,4555.0
2018-03-07,4510.0
2018-03-08,4470.0
2018-03-09,4400.0
2018-03-12,4520.0
2018-03-13,4465.0
2018-03-14,4445.0
2018-03-15,4465.0
2018-03-16,4470.0
2018-03-19,4525.0
2018-03-20,4565.0
2018-03-21,4635.0
2018-03-22,4750.0
2018-03-23,4745.0
2018-03-26,4780.0
2018-03-27,4775.0
2018-03-28,4710.0
2018-03-29,4705.0
2018-03-30,4685.0
2018-04-02,4740.0
2018-04-03,4615.0
2018-04-04,4605.0
2018-04-05,4645.0
2018-04-06,4610.0
2018-04-09,4565.0
2018-04-10,4685.0
2018-04-11,4755.0
2018-04-12,4895.0
2018-04-13,4865.0
2018-04-16,4860.0
2018-04-17,4850.0
2018-04-18,4890.0
2018-04-19,5005.0
2018-04-20,4965.0
2018-04-23,4965.0
2018-04-24,5045.0
2018-04-25,4935.0
2018-04-26,4980.0
2018-04-27,4955.0
2018-04-30,4945.0
2018-05-02,4915.0
2018-05-03,4935.0
2018-05-04,4975.0
2018-05-08,5105.0
2018-05-09,5145.0
2018-05-10,5220.0
2018-05-11,5205.0
2018-05-14,5145.0
2018-05-15,5185.0
2018-05-16,5185.0
2018-05-17,5240.0
2018-05-18,5230.0
2018-05-21,5250.0
2018-05-23,5260.0
2018-05-24,5230.0
2018-05-25,5155.0
2018-05-28,4855.0
2018-05-29,4875.0
2018-05-30,4875.0
2018-05-31,4965.0
2018-06-01,4890.0
2018-06-04,4820.0
2018-06-05,4765.0
2018-06-07,4760.0
2018-06-08,4800.0
2018-06-11,4800.0
2018-06-12,4830.0
2018-06-14,4850.0
2018-06-15,4875.0
2018-06-18,4660.0
2018-06-19,4745.0
2018-06-20,4760.0
2018-06-21,4770.0
2018-06-22,4840.0
2018-06-25,4995.0
2018-06-26,4985.0
2018-06-27,5175.0
2018-06-28,5290.0
2018-06-29,5340.0
2018-07-02,5355.0
2018-07-03,5455.0
2018-07-04,5425.0
2018-07-05,5365.0
2018-07-06,5350.0
2018-07-09,5400.0
2018-07-10,5450.0
2018-07-11,5415.0
2018-07-12,5235.0
2018-07-13,5210.0
2018-07-16,5220.0
2018-07-17,5045.0
2018-07-18,5025.0
2018-07-19,5085.0
2018-07-20,5135.0
2018-07-23,5115.0
2018-07-24,5090.0
2018-07-25,5170.0
2018-07-26,5220.0
2018-07-27,5230.0
2018-07-30,5185.0
2018-07-31,5240.0
2018-08-01,5140.0
2018-08-02,5110.0
2018-08-03,5180.0
2018-08-06,5190.0
2018-08-07,5220.0
2018-08-08,5210.0
2018-08-09,5085.0
2018-08-10,5055.0
2018-08-13,5105.0
2018-08-14,5110.0
2018-08-16,4945.0
2018-08-17,4960.0
2018-08-20,4990.0
2018-08-21,5005.0
2018-08-22,5040.0
2018-08-23,5190.0
2018-08-24,5235.0
2018-08-27,5230.0
2018-08-28,5240.0
2018-08-29,5230.0
2018-08-30,5320.0
2018-08-31,5365.0
2018-09-03,5315.0
2018-09-04,5360.0
2018-09-05,5285.0
2018-09-06,5235.0
2018-09-07,5200.0
2018-09-10,5225.0
2018-09-11,5190.0
2018-09-12,5340.0
2018-09-13,5335.0
2018-09-14,5265.0
2018-09-17,5280.0
2018-09-18,5240.0
2018-09-19,5345.0
2018-09-20,5460.0
2018-09-21,5385.0
2018-09-27,5535.0
2018-09-28,5535.0
2018-10-01,5630.0
2018-10-02,5790.0
