Date,KODEX 은행
2017-03-24,8080.0
2017-03-27,7945.0
2017-03-28,7955.0
2017-03-29,7915.0
2017-03-30,7865.0
2017-03-31,7850.0
2017-04-03,7870.0
2017-04-04,7785.0
2017-04-05,7920.0
2017-04-06,7910.0
2017-04-07,7895.0
2017-04-10,7730.0
2017-04-11,7725.0
2017-04-12,7660.0
2017-04-13,7860.0
2017-04-14,7825.0
2017-04-17,7980.0
2017-04-18,7950.0
2017-04-19,7950.0
2017-04-20,7950.0
2017-04-21,8025.0
2017-04-24,8245.0
2017-04-25,8340.0
2017-04-26,8295.0
2017-04-27,8040.0
2017-04-28,7975.0
2017-05-02,8050.0
2017-05-04,8125.0
2017-05-08,8330.0
2017-05-10,8265.0
2017-05-11,8505.0
2017-05-12,8415.0
2017-05-15,8475.0
2017-05-16,8400.0
2017-05-17,8300.0
2017-05-18,8265.0
2017-05-19,8260.0
2017-05-22,8300.0
2017-05-23,8400.0
2017-05-24,8290.0
2017-05-25,8330.0
2017-05-26,8390.0
2017-05-29,8350.0
2017-05-30,8330.0
2017-05-31,8310.0
2017-06-01,8250.0
2017-06-02,8450.0
2017-06-05,8470.0
2017-06-07,8490.0
2017-06-08,8515.0
2017-06-09,8655.0
2017-06-12,8750.0
2017-06-13,8725.0
2017-06-14,8745.0
2017-06-15,8655.0
2017-06-16,8720.0
2017-06-19,8725.0
2017-06-20,8645.0
2017-06-21,8485.0
2017-06-22,8590.0
2017-06-23,8685.0
2017-06-26,8650.0
2017-06-27,8610.0
2017-06-28,8900.0
2017-06-29,9095.0
2017-06-30,9085.0
2017-07-03,9075.0
2017-07-04,9130.0
2017-07-05,9040.0
2017-07-06,9090.0
2017-07-07,9015.0
2017-07-10,9180.0
2017-07-11,9205.0
2017-07-12,9120.0
2017-07-13,9085.0
2017-07-14,9185.0
2017-07-17,9205.0
2017-07-18,9230.0
2017-07-19,9190.0
2017-07-20,9275.0
2017-07-21,9545.0
2017-07-24,9595.0
2017-07-25,9595.0
2017-07-26,9740.0
2017-07-27,9690.0
2017-07-28,9525.0
2017-07-31,9640.0
2017-08-01,9730.0
2017-08-02,9590.0
2017-08-03,9545.0
2017-08-04,9565.0
2017-08-07,9660.0
2017-08-08,9630.0
2017-08-09,9485.0
2017-08-10,9465.0
2017-08-11,9235.0
2017-08-14,9375.0
2017-08-16,9400.0
2017-08-17,9365.0
2017-08-18,9315.0
2017-08-21,9245.0
2017-08-22,9250.0
2017-08-23,9255.0
2017-08-24,9165.0
2017-08-25,9420.0
2017-08-28,9410.0
2017-08-29,9325.0
2017-08-30,9320.0
2017-08-31,9160.0
2017-09-01,9125.0
2017-09-04,8955.0
2017-09-05,8525.0
2017-09-06,8440.0
2017-09-07,8620.0
2017-09-08,8540.0
2017-09-11,8645.0
2017-09-12,8665.0
2017-09-13,8665.0
2017-09-14,8725.0
2017-09-15,8840.0
2017-09-18,9000.0
2017-09-19,9000.0
2017-09-20,9030.0
2017-09-21,9095.0
2017-09-22,9230.0
2017-09-25,8955.0
2017-09-26,8835.0
2017-09-27,8740.0
2017-09-28,8940.0
2017-09-29,8935.0
2017-10-10,9135.0
2017-10-11,9055.0
2017-10-12,9145.0
2017-10-13,9040.0
2017-10-16,8980.0
2017-10-17,8915.0
2017-10-18,8850.0
2017-10-19,8960.0
2017-10-20,8970.0
2017-10-23,8885.0
2017-10-24,9030.0
2017-10-25,9155.0
2017-10-26,9105.0
2017-10-27,9070.0
2017-10-30,9090.0
2017-10-31,8955.0
2017-11-01,8975.0
2017-11-02,8915.0
2017-11-03,9000.0
2017-11-06,8785.0
2017-11-07,8715.0
2017-11-08,8600.0
2017-11-09,8630.0
2017-11-10,8575.0
2017-11-13,8495.0
2017-11-14,8575.0
2017-11-15,8680.0
2017-11-16,8815.0
2017-11-17,8620.0
2017-11-20,8645.0
2017-11-21,8570.0
2017-11-22,8655.0
2017-11-23,8670.0
2017-11-24,8625.0
2017-11-27,8720.0
2017-11-28,8785.0
2017-11-29,8815.0
2017-11-30,8850.0
2017-12-01,8605.0
2017-12-04,8770.0
2017-12-05,8815.0
2017-12-06,8845.0
2017-12-07,8725.0
2017-12-08,8775.0
2017-12-11,8715.0
2017-12-12,8660.0
2017-12-13,8875.0
2017-12-14,9025.0
2017-12-15,9095.0
2017-12-18,9085.0
2017-12-19,9095.0
2017-12-20,9195.0
2017-12-21,9190.0
2017-12-22,9230.0
2017-12-26,9300.0
2017-12-27,9365.0
2017-12-28,9355.0
2018-01-02,9395.0
2018-01-03,9445.0
2018-01-04,9380.0
2018-01-05,9545.0
2018-01-08,9805.0
2018-01-09,9905.0
2018-01-10,9875.0
2018-01-11,9965.0
2018-01-12,10040.0
2018-01-15,10005.0
2018-01-16,9825.0
2018-01-17,9890.0
2018-01-18,9795.0
2018-01-19,10000.0
2018-01-22,9830.0
2018-01-23,10095.0
2018-01-24,9995.0
2018-01-25,9890.0
2018-01-26,9885.0
2018-01-29,9895.0
2018-01-30,9945.0
2018-01-31,9945.0
2018-02-01,9865.0
2018-02-02,9880.0
2018-02-05,10045.0
2018-02-06,9625.0
2018-02-07,9400.0
2018-02-08,9355.0
2018-02-09,9150.0
2018-02-12,9485.0
2018-02-13,9465.0
2018-02-14,9440.0
2018-02-19,9695.0
2018-02-20,9635.0
2018-02-21,9590.0
2018-02-22,9560.0
2018-02-23,9685.0
2018-02-26,9640.0
2018-02-27,9580.0
2018-02-28,9530.0
2018-03-02,9400.0
2018-03-05,9225.0
2018-03-06,9185.0
2018-03-07,9025.0
2018-03-08,9130.0
2018-03-09,9135.0
2018-03-12,9410.0
2018-03-13,9205.0
2018-03-14,9085.0
2018-03-15,9085.0
2018-03-16,9200.0
2018-03-19,9245.0
2018-03-20,9225.0
2018-03-21,9235.0
2018-03-22,9385.0
2018-03-23,9065.0
2018-03-26,8990.0
2018-03-27,9090.0
2018-03-28,8840.0
2018-03-29,8890.0
2018-03-30,8905.0
2018-04-02,8730.0
2018-04-03,8495.0
2018-04-04,8470.0
2018-04-05,8520.0
2018-04-06,8510.0
2018-04-09,8480.0
2018-04-10,8675.0
2018-04-11,8650.0
2018-04-12,8735.0
2018-04-13,8830.0
2018-04-16,8855.0
2018-04-17,8815.0
2018-04-18,8840.0
2018-04-19,8940.0
2018-04-20,8905.0
2018-04-23,9165.0
2018-04-24,9250.0
2018-04-25,9170.0
2018-04-26,9200.0
2018-04-27,8950.0
2018-04-30,9040.0
2018-05-02,8970.0
2018-05-03,8855.0
2018-05-04,8765.0
2018-05-08,8715.0
2018-05-09,8715.0
2018-05-10,8785.0
2018-05-11,8800.0
2018-05-14,8835.0
2018-05-15,8745.0
2018-05-16,8835.0
2018-05-17,8755.0
2018-05-18,8645.0
2018-05-21,8700.0
2018-05-23,8600.0
2018-05-24,8610.0
2018-05-25,8520.0
2018-05-28,8485.0
2018-05-29,8450.0
2018-05-30,8165.0
2018-05-31,8125.0
2018-06-01,8180.0
2018-06-04,8465.0
2018-06-05,8505.0
2018-06-07,8720.0
2018-06-08,8735.0
2018-06-11,8835.0
2018-06-12,8830.0
2018-06-14,8645.0
2018-06-15,8500.0
2018-06-18,8595.0
2018-06-19,8485.0
2018-06-20,8580.0
2018-06-21,8250.0
2018-06-22,8305.0
2018-06-25,8405.0
2018-06-26,8425.0
2018-06-27,8330.0
2018-06-28,8155.0
2018-06-29,8260.0
2018-07-02,8215.0
2018-07-03,8100.0
2018-07-04,8120.0
2018-07-05,8155.0
2018-07-06,8370.0
2018-07-09,8520.0
2018-07-10,8425.0
2018-07-11,8405.0
2018-07-12,8275.0
2018-07-13,8530.0
2018-07-16,8410.0
2018-07-17,8470.0
2018-07-18,8385.0
2018-07-19,8275.0
2018-07-20,8300.0
2018-07-23,8395.0
2018-07-24,8340.0
2018-07-25,8475.0
2018-07-26,8365.0
2018-07-27,8420.0
2018-07-30,8380.0
2018-07-31,8405.0
2018-08-01,8435.0
2018-08-02,8270.0
2018-08-03,8300.0
2018-08-06,8305.0
2018-08-07,8215.0
2018-08-08,8305.0
2018-08-09,8220.0
2018-08-10,8195.0
2018-08-13,8055.0
2018-08-14,8115.0
2018-08-16,8105.0
2018-08-17,8115.0
2018-08-20,8160.0
2018-08-21,8175.0
2018-08-22,8095.0
2018-08-23,8010.0
2018-08-24,8070.0
2018-08-27,8205.0
2018-08-28,8250.0
2018-08-29,8265.0
2018-08-30,8135.0
2018-08-31,8155.0
2018-09-03,8125.0
2018-09-04,8125.0
2018-09-05,7980.0
2018-09-06,7925.0
2018-09-07,7995.0
2018-09-10,8020.0
2018-09-11,8025.0
2018-09-12,8065.0
2018-09-13,8185.0
2018-09-14,8115.0
2018-09-17,8060.0
2018-09-18,7965.0
2018-09-19,7960.0
2018-09-20,8130.0
2018-09-21,8280.0
2018-09-27,8330.0
2018-09-28,8425.0
2018-10-01,8535.0
2018-10-02,8490.0
2018-10-04,8620.0
2018-10-05,8610.0
2018-10-08,8595.0
