Date,KBSTAR 중기우량회사채
2017-11-09,102040.0
2017-11-10,102035.0
2017-11-13,101935.0
2017-11-14,101920.0
2017-11-15,101945.0
2017-11-16,102020.0
2017-11-17,102020.0
2017-11-20,102055.0
2017-11-21,102100.0
2017-11-22,102100.0
2017-11-23,102245.0
2017-11-24,102200.0
2017-11-27,102250.0
2017-11-28,102315.0
2017-11-29,102380.0
2017-11-30,102520.0
2017-12-01,102520.0
2017-12-04,102535.0
2017-12-05,102545.0
2017-12-06,102575.0
2017-12-07,101485.0
2017-12-08,101500.0
2017-12-11,101495.0
2017-12-12,101560.0
2017-12-13,101590.0
2017-12-14,101615.0
2017-12-15,101635.0
2017-12-18,101600.0
2017-12-19,101595.0
2017-12-20,101655.0
2017-12-21,101650.0
2017-12-22,101525.0
2017-12-26,101595.0
2017-12-27,101585.0
2017-12-28,101625.0
2018-01-02,101690.0
2018-01-03,101665.0
2018-01-04,101615.0
2018-01-05,101730.0
2018-01-08,101690.0
2018-01-09,101675.0
2018-01-10,101580.0
2018-01-11,101680.0
2018-01-12,101660.0
2018-01-15,101555.0
2018-01-16,101560.0
2018-01-17,101595.0
2018-01-18,101725.0
2018-01-19,101705.0
2018-01-22,101670.0
2018-01-23,101675.0
2018-01-24,101670.0
2018-01-25,101670.0
2018-01-26,101645.0
2018-01-29,101515.0
2018-01-30,101480.0
2018-01-31,101545.0
2018-02-01,101625.0
2018-02-02,101620.0
2018-02-05,101625.0
2018-02-06,101675.0
2018-02-07,101690.0
2018-02-08,101670.0
2018-02-09,101660.0
2018-02-12,101620.0
2018-02-13,101665.0
2018-02-14,101740.0
2018-02-19,101665.0
2018-02-20,101655.0
2018-02-21,101695.0
2018-02-22,101705.0
2018-02-23,101750.0
2018-02-26,101785.0
2018-02-27,101820.0
2018-02-28,101790.0
2018-03-02,101815.0
2018-03-05,101745.0
2018-03-06,101730.0
2018-03-07,101160.0
2018-03-08,101185.0
2018-03-09,101170.0
2018-03-12,101150.0
2018-03-13,101180.0
2018-03-14,101220.0
2018-03-15,101275.0
2018-03-16,101250.0
2018-03-19,101280.0
2018-03-20,101245.0
2018-03-21,101250.0
2018-03-22,101345.0
2018-03-23,101405.0
2018-03-26,101360.0
2018-03-27,101380.0
2018-03-28,101420.0
2018-03-29,101430.0
2018-03-30,101440.0
2018-04-02,101460.0
2018-04-03,101515.0
2018-04-04,101590.0
2018-04-05,101595.0
2018-04-06,101640.0
2018-04-09,101620.0
2018-04-10,101605.0
2018-04-11,101665.0
2018-04-12,101695.0
2018-04-13,101720.0
2018-04-16,101670.0
2018-04-17,101690.0
2018-04-18,101685.0
2018-04-19,101685.0
2018-04-20,101695.0
2018-04-23,101645.0
2018-04-24,101635.0
2018-04-25,101620.0
2018-04-26,101640.0
2018-04-27,101730.0
2018-04-30,101710.0
2018-05-02,101650.0
2018-05-03,101645.0
2018-05-04,101620.0
2018-05-08,101505.0
2018-05-09,101580.0
2018-05-10,101635.0
2018-05-11,101650.0
2018-05-14,101595.0
2018-05-15,101620.0
2018-05-16,101635.0
2018-05-17,101760.0
2018-05-18,101810.0
2018-05-21,101840.0
2018-05-23,101860.0
2018-05-24,101990.0
2018-05-25,101990.0
2018-05-28,101960.0
2018-05-29,101995.0
2018-05-30,102030.0
2018-05-31,102040.0
2018-06-01,102060.0
2018-06-04,102020.0
2018-06-05,102010.0
2018-06-07,101640.0
2018-06-08,101670.0
2018-06-11,101710.0
2018-06-12,101695.0
2018-06-14,101695.0
2018-06-15,101755.0
2018-06-18,101805.0
2018-06-19,101850.0
2018-06-20,101840.0
2018-06-21,101890.0
2018-06-22,101910.0
2018-06-25,101925.0
2018-06-26,101930.0
2018-06-27,101980.0
2018-06-28,102010.0
2018-06-29,101990.0
2018-07-02,102070.0
2018-07-03,102050.0
2018-07-04,102085.0
2018-07-05,102175.0
2018-07-06,102165.0
2018-07-09,102170.0
2018-07-10,102195.0
2018-07-11,102280.0
2018-07-12,102245.0
2018-07-13,102215.0
2018-07-16,102265.0
2018-07-17,102265.0
2018-07-18,102270.0
2018-07-19,102290.0
2018-07-20,102325.0
2018-07-23,102350.0
2018-07-24,102310.0
2018-07-25,102310.0
2018-07-26,102380.0
2018-07-27,102320.0
2018-07-30,102315.0
2018-07-31,102330.0
2018-08-01,102330.0
2018-08-02,102360.0
2018-08-03,102385.0
2018-08-06,102445.0
2018-08-07,102505.0
2018-08-08,102535.0
2018-08-09,102620.0
2018-08-10,102670.0
2018-08-13,102690.0
2018-08-14,102690.0
2018-08-16,102655.0
2018-08-17,102770.0
2018-08-20,102810.0
2018-08-21,103050.0
2018-08-22,102975.0
2018-08-23,102955.0
2018-08-24,102965.0
2018-08-27,102970.0
2018-08-28,102915.0
2018-08-29,103010.0
2018-08-30,102965.0
2018-08-31,103075.0
2018-09-03,103075.0
2018-09-04,103130.0
2018-09-05,103145.0
2018-09-06,102625.0
2018-09-07,102590.0
2018-09-10,102595.0
