Date,TIGER 베타플러스
2017-01-04,12045.0
2017-01-05,11970.0
2017-01-06,12010.0
2017-01-09,12040.0
2017-01-10,12015.0
2017-01-11,12205.0
2017-01-12,12230.0
2017-01-13,12180.0
2017-01-16,12025.0
2017-01-17,12095.0
2017-01-18,12095.0
2017-01-19,12095.0
2017-01-20,12080.0
2017-01-23,12080.0
2017-01-24,12080.0
2017-01-25,12080.0
2017-01-26,12230.0
2017-01-31,12215.0
2017-02-01,12245.0
2017-02-02,12225.0
2017-02-03,12225.0
2017-02-06,12245.0
2017-02-07,12235.0
2017-02-08,12180.0
2017-02-09,12180.0
2017-02-10,12180.0
2017-02-13,12150.0
2017-02-14,12095.0
2017-02-15,12065.0
2017-02-16,12135.0
2017-02-17,12155.0
2017-02-20,12180.0
2017-02-21,12305.0
2017-02-22,12365.0
2017-02-23,12340.0
2017-02-24,12230.0
2017-02-27,12125.0
2017-02-28,12130.0
2017-03-02,12270.0
2017-03-03,12130.0
2017-03-06,12180.0
2017-03-07,12240.0
2017-03-08,12240.0
2017-03-09,12270.0
2017-03-10,12200.0
2017-03-13,12425.0
2017-03-14,12545.0
2017-03-15,12545.0
2017-03-16,12590.0
2017-03-17,12650.0
2017-03-20,12670.0
2017-03-21,12920.0
2017-03-22,12910.0
2017-03-23,12905.0
2017-03-24,12940.0
2017-03-27,12740.0
2017-03-28,12715.0
2017-03-29,12765.0
2017-03-30,12710.0
2017-03-31,12755.0
2017-04-03,12715.0
2017-04-04,12710.0
2017-04-05,12665.0
2017-04-06,12635.0
2017-04-07,12590.0
2017-04-10,12535.0
2017-04-11,12415.0
2017-04-12,12415.0
2017-04-13,12590.0
2017-04-14,12525.0
2017-04-17,12525.0
2017-04-18,12525.0
2017-04-19,12415.0
2017-04-20,12485.0
2017-04-21,12605.0
2017-04-24,12685.0
2017-04-25,12895.0
2017-04-26,12950.0
2017-04-27,12740.0
2017-04-28,12795.0
2017-05-02,12860.0
2017-05-04,12985.0
2017-05-08,13375.0
2017-05-10,13250.0
2017-05-11,13335.0
2017-05-12,13355.0
2017-05-15,13350.0
2017-05-16,13440.0
2017-05-17,13415.0
2017-05-18,13415.0
2017-05-19,13500.0
2017-05-22,13545.0
2017-05-23,13680.0
2017-05-24,13620.0
2017-05-25,13735.0
2017-05-26,13800.0
2017-05-29,13875.0
2017-05-30,13750.0
2017-05-31,13730.0
2017-06-01,13730.0
2017-06-02,13810.0
2017-06-05,13955.0
2017-06-07,13875.0
2017-06-08,13810.0
2017-06-09,14120.0
2017-06-12,13875.0
2017-06-13,13980.0
2017-06-14,14095.0
2017-06-15,13940.0
2017-06-16,13990.0
2017-06-19,14070.0
2017-06-20,14070.0
2017-06-21,14030.0
2017-06-22,14025.0
2017-06-23,14100.0
2017-06-26,14100.0
2017-06-27,14150.0
2017-06-28,14060.0
2017-06-29,14145.0
2017-06-30,14055.0
2017-07-03,14160.0
2017-07-04,14060.0
2017-07-05,14100.0
2017-07-06,14085.0
2017-07-07,13930.0
2017-07-10,13930.0
2017-07-11,13990.0
2017-07-12,14080.0
2017-07-13,14190.0
2017-07-14,14245.0
2017-07-17,14245.0
2017-07-18,14250.0
2017-07-19,14250.0
2017-07-20,14295.0
2017-07-21,14260.0
2017-07-24,14220.0
2017-07-25,14240.0
2017-07-26,14240.0
2017-07-27,14240.0
2017-07-28,14070.0
2017-07-31,13975.0
2017-08-01,14095.0
2017-08-02,14140.0
2017-08-03,13825.0
2017-08-04,14000.0
2017-08-07,14155.0
2017-08-08,14040.0
2017-08-09,13875.0
2017-08-10,13805.0
2017-08-11,13555.0
2017-08-14,13615.0
2017-08-16,13655.0
2017-08-17,13830.0
2017-08-18,13740.0
2017-08-21,13775.0
2017-08-22,13815.0
2017-08-23,13885.0
2017-08-24,13920.0
2017-08-25,13900.0
2017-08-28,13880.0
2017-08-29,13880.0
2017-08-30,13885.0
2017-08-31,13880.0
2017-09-01,13885.0
2017-09-04,13815.0
2017-09-05,13700.0
2017-09-06,13580.0
2017-09-07,13760.0
2017-09-08,13705.0
2017-09-11,13825.0
2017-09-12,13895.0
2017-09-13,13900.0
2017-09-14,13910.0
2017-09-15,14000.0
2017-09-18,14245.0
2017-09-19,14245.0
2017-09-20,14245.0
2017-09-21,14205.0
2017-09-22,14180.0
2017-09-25,14135.0
2017-09-26,13990.0
2017-09-27,14050.0
2017-09-28,14070.0
2017-09-29,14285.0
2017-10-10,14435.0
2017-10-11,14630.0
2017-10-12,14710.0
2017-10-13,14710.0
2017-10-16,14705.0
2017-10-17,14745.0
2017-10-18,14770.0
2017-10-19,14850.0
2017-10-20,14815.0
2017-10-23,14775.0
2017-10-24,14875.0
2017-10-25,14835.0
2017-10-26,14865.0
2017-10-27,14935.0
2017-10-30,15005.0
2017-10-31,15145.0
2017-11-01,15290.0
2017-11-02,15290.0
2017-11-03,15335.0
2017-11-06,15290.0
2017-11-07,15265.0
2017-11-08,15285.0
2017-11-09,15180.0
2017-11-10,15220.0
2017-11-13,15155.0
2017-11-14,15105.0
2017-11-15,14955.0
2017-11-16,15035.0
2017-11-17,15115.0
2017-11-20,15055.0
2017-11-21,15040.0
2017-11-22,15070.0
2017-11-23,15070.0
2017-11-24,15070.0
2017-11-27,14955.0
2017-11-28,14940.0
2017-11-29,14965.0
2017-11-30,14935.0
2017-12-01,14835.0
2017-12-04,14895.0
2017-12-05,15015.0
2017-12-06,14815.0
2017-12-07,14775.0
2017-12-08,14775.0
2017-12-11,14730.0
2017-12-12,14610.0
2017-12-13,14795.0
2017-12-14,14795.0
2017-12-15,14890.0
2017-12-18,14815.0
2017-12-19,14815.0
2017-12-20,14815.0
2017-12-21,14715.0
2017-12-22,14750.0
2017-12-26,14725.0
2017-12-27,14975.0
2017-12-28,15105.0
2018-01-02,15095.0
2018-01-03,15125.0
2018-01-04,15065.0
2018-01-05,15195.0
2018-01-08,15250.0
2018-01-09,15275.0
2018-01-10,15285.0
2018-01-11,15240.0
2018-01-12,15275.0
2018-01-15,15265.0
2018-01-16,15335.0
2018-01-17,15335.0
2018-01-18,15255.0
2018-01-19,15420.0
2018-01-22,15235.0
2018-01-23,15445.0
2018-01-24,15500.0
2018-01-25,15675.0
2018-01-26,15610.0
2018-01-29,15710.0
2018-01-30,15660.0
2018-01-31,15725.0
2018-02-01,15615.0
2018-02-02,15420.0
2018-02-05,15265.0
2018-02-06,15045.0
2018-02-07,14900.0
2018-02-08,14760.0
2018-02-09,14370.0
2018-02-12,14485.0
2018-02-13,14590.0
2018-02-14,14685.0
2018-02-19,14775.0
2018-02-20,14625.0
2018-02-21,14735.0
2018-02-22,14650.0
2018-02-23,14775.0
2018-02-26,14885.0
2018-02-27,14885.0
2018-02-28,14775.0
2018-03-02,14430.0
2018-03-05,14320.0
2018-03-06,14455.0
2018-03-07,14470.0
2018-03-08,14475.0
2018-03-09,14685.0
2018-03-12,14805.0
2018-03-13,14870.0
2018-03-14,14845.0
2018-03-15,14850.0
2018-03-16,14850.0
2018-03-19,14735.0
2018-03-20,14770.0
2018-03-21,14840.0
2018-03-22,14915.0
2018-03-23,14590.0
2018-03-26,14510.0
2018-03-27,14695.0
2018-03-28,14445.0
2018-03-29,14475.0
2018-03-30,14580.0
2018-04-02,14595.0
2018-04-03,14465.0
2018-04-04,14425.0
2018-04-05,14505.0
2018-04-06,14435.0
2018-04-09,14530.0
2018-04-10,14565.0
2018-04-11,14505.0
2018-04-12,14505.0
2018-04-13,14650.0
2018-04-16,14630.0
2018-04-17,14665.0
2018-04-18,14870.0
2018-04-19,14985.0
2018-04-20,14900.0
2018-04-23,14900.0
2018-04-24,14870.0
2018-04-25,14795.0
2018-04-26,14890.0
2018-04-27,14620.0
2018-04-30,14790.0
2018-05-02,14980.0
2018-05-03,14840.0
2018-05-04,14675.0
2018-05-08,14635.0
2018-05-09,14515.0
2018-05-10,14555.0
2018-05-11,14635.0
2018-05-14,14635.0
2018-05-15,14540.0
2018-05-16,14540.0
2018-05-17,14485.0
2018-05-18,14485.0
2018-05-21,14610.0
2018-05-23,14560.0
2018-05-24,14515.0
2018-05-25,14460.0
2018-05-28,14520.0
2018-05-29,14480.0
2018-05-30,14150.0
2018-05-31,14275.0
2018-06-01,14285.0
2018-06-04,14370.0
2018-06-05,14425.0
2018-06-07,14495.0
2018-06-08,14420.0
2018-06-11,14435.0
2018-06-12,14465.0
2018-06-14,14265.0
2018-06-15,14070.0
2018-06-18,14040.0
2018-06-19,13860.0
2018-06-20,13780.0
2018-06-21,13600.0
2018-06-22,13545.0
2018-06-25,13765.0
2018-06-26,13740.0
2018-06-27,13690.0
2018-06-28,13555.0
2018-06-29,13570.0
2018-07-02,13340.0
2018-07-03,13210.0
2018-07-04,13220.0
2018-07-05,13220.0
