Date,KODEX 국채선물10년
2017-01-25,65265.0
2017-01-26,64920.0
2017-01-31,65135.0
2017-02-01,65080.0
2017-02-02,65170.0
2017-02-03,65025.0
2017-02-06,65195.0
2017-02-07,65315.0
2017-02-08,65240.0
2017-02-09,65425.0
2017-02-10,65160.0
2017-02-13,65245.0
2017-02-14,65315.0
2017-02-15,65205.0
2017-02-16,65245.0
2017-02-17,65305.0
2017-02-20,65100.0
2017-02-21,65005.0
2017-02-22,64800.0
2017-02-23,65005.0
2017-02-24,65230.0
2017-02-27,65135.0
2017-02-28,65280.0
2017-03-02,64915.0
2017-03-03,64875.0
2017-03-06,64685.0
2017-03-07,64460.0
2017-03-08,64510.0
2017-03-09,64490.0
2017-03-10,64490.0
2017-03-13,64545.0
2017-03-14,64655.0
2017-03-15,64745.0
2017-03-16,65255.0
2017-03-17,65240.0
2017-03-20,65240.0
2017-03-21,65245.0
2017-03-22,65440.0
2017-03-23,65435.0
2017-03-24,65325.0
2017-03-27,65480.0
2017-03-28,65425.0
2017-03-29,65360.0
2017-03-30,65285.0
2017-03-31,65400.0
2017-04-03,65400.0
2017-04-04,65590.0
2017-04-05,65515.0
2017-04-06,65330.0
2017-04-07,65295.0
2017-04-10,64975.0
2017-04-11,65245.0
2017-04-12,65240.0
2017-04-13,65480.0
2017-04-14,65315.0
2017-04-17,65490.0
2017-04-18,65415.0
2017-04-19,65625.0
2017-04-20,65570.0
2017-04-21,65480.0
2017-04-24,65240.0
2017-04-25,65370.0
2017-04-26,65265.0
2017-04-27,65340.0
2017-04-28,65355.0
2017-05-02,65110.0
2017-05-04,65270.0
2017-05-08,65175.0
2017-05-10,64885.0
2017-05-11,64855.0
2017-05-12,64965.0
2017-05-15,64925.0
2017-05-16,64940.0
2017-05-17,65180.0
2017-05-18,65210.0
2017-05-19,65200.0
2017-05-22,65125.0
2017-05-23,65150.0
2017-05-24,65125.0
2017-05-25,65230.0
2017-05-26,65300.0
2017-05-29,65250.0
2017-05-30,65395.0
2017-05-31,65465.0
2017-06-01,65470.0
2017-06-02,65490.0
2017-06-05,65660.0
2017-06-07,65760.0
2017-06-08,65635.0
2017-06-09,65685.0
2017-06-12,65370.0
2017-06-13,65655.0
2017-06-14,65700.0
2017-06-15,65910.0
2017-06-16,65725.0
2017-06-19,65740.0
2017-06-20,65815.0
2017-06-21,65825.0
2017-06-22,65895.0
2017-06-23,65900.0
2017-06-26,65920.0
2017-06-27,65925.0
2017-06-28,65600.0
2017-06-29,65605.0
2017-06-30,65440.0
2017-07-03,65305.0
2017-07-04,65110.0
2017-07-05,65115.0
2017-07-06,65110.0
2017-07-07,64855.0
2017-07-10,65030.0
2017-07-11,65120.0
2017-07-12,65155.0
2017-07-13,65385.0
2017-07-14,65295.0
2017-07-17,65195.0
2017-07-18,65315.0
2017-07-19,65345.0
2017-07-20,65380.0
2017-07-21,65495.0
2017-07-24,65510.0
2017-07-25,65565.0
2017-07-26,65355.0
2017-07-27,65535.0
2017-07-28,65410.0
2017-07-31,65475.0
2017-08-01,65330.0
2017-08-02,65390.0
2017-08-03,65385.0
2017-08-04,65355.0
2017-08-07,65215.0
2017-08-08,65015.0
2017-08-09,64885.0
2017-08-10,64785.0
2017-08-11,65065.0
2017-08-14,65225.0
2017-08-16,64945.0
2017-08-17,65055.0
2017-08-18,65090.0
2017-08-21,65120.0
2017-08-22,65120.0
2017-08-23,65100.0
2017-08-24,65220.0
2017-08-25,65400.0
2017-08-28,65425.0
2017-08-29,65400.0
2017-08-30,65490.0
2017-08-31,65420.0
2017-09-01,65360.0
2017-09-04,65140.0
2017-09-05,65130.0
2017-09-06,65320.0
2017-09-07,65300.0
2017-09-08,65550.0
2017-09-11,65495.0
2017-09-12,65465.0
2017-09-13,65490.0
2017-09-14,65510.0
2017-09-15,65500.0
2017-09-18,65440.0
2017-09-19,65310.0
2017-09-20,65300.0
2017-09-21,65350.0
2017-09-22,65370.0
2017-09-25,65390.0
2017-09-26,65190.0
2017-09-27,64960.0
2017-09-28,64705.0
2017-09-29,64810.0
2017-10-10,64585.0
2017-10-11,64625.0
2017-10-12,64730.0
2017-10-13,64810.0
2017-10-16,64790.0
2017-10-17,64755.0
2017-10-18,64780.0
2017-10-19,64620.0
2017-10-20,64470.0
2017-10-23,64465.0
2017-10-24,64365.0
2017-10-25,64215.0
2017-10-26,64115.0
2017-10-27,63895.0
2017-10-30,64125.0
2017-10-31,63935.0
2017-11-01,63965.0
2017-11-02,64000.0
2017-11-03,64160.0
2017-11-06,64060.0
2017-11-07,64100.0
2017-11-08,64095.0
2017-11-09,64100.0
2017-11-10,64120.0
2017-11-13,63880.0
2017-11-14,63740.0
2017-11-15,63785.0
2017-11-16,64075.0
2017-11-17,64000.0
2017-11-20,64105.0
2017-11-21,64115.0
2017-11-22,64135.0
2017-11-23,64280.0
2017-11-24,64270.0
