Date,TIGER 200
2016-04-29,24480.0
2016-05-02,24285.0
2016-05-03,24360.0
2016-05-04,24240.0
2016-05-09,24205.0
2016-05-10,24290.0
2016-05-11,24265.0
2016-05-12,24230.0
2016-05-13,24040.0
2016-05-16,24040.0
2016-05-17,24055.0
2016-05-18,23940.0
2016-05-19,23880.0
2016-05-20,23855.0
2016-05-23,23920.0
2016-05-24,23750.0
2016-05-25,24070.0
2016-05-26,24065.0
2016-05-27,24165.0
2016-05-30,24140.0
2016-05-31,24315.0
2016-06-01,24315.0
2016-06-02,24355.0
2016-06-03,24410.0
2016-06-07,24740.0
2016-06-08,24985.0
2016-06-09,24960.0
2016-06-10,24905.0
2016-06-13,24360.0
2016-06-14,24295.0
2016-06-15,24275.0
2016-06-16,24095.0
2016-06-17,24150.0
2016-06-20,24470.0
2016-06-21,24480.0
2016-06-22,24605.0
2016-06-23,24630.0
2016-06-24,23830.0
2016-06-27,23905.0
2016-06-28,23975.0
2016-06-29,24255.0
2016-06-30,24395.0
2016-07-01,24625.0
2016-07-04,24705.0
2016-07-05,24690.0
2016-07-06,24210.0
2016-07-07,24460.0
2016-07-08,24325.0
2016-07-11,24695.0
2016-07-12,24700.0
2016-07-13,24860.0
2016-07-14,24895.0
2016-07-15,25025.0
2016-07-18,25090.0
2016-07-19,25025.0
2016-07-20,25015.0
2016-07-21,25035.0
2016-07-22,24990.0
2016-07-25,25040.0
2016-07-26,25245.0
2016-07-27,25250.0
2016-07-28,25120.0
2016-07-29,25140.0
2016-08-01,25325.0
2016-08-02,25130.0
2016-08-03,24850.0
2016-08-04,24875.0
2016-08-05,25140.0
2016-08-08,25325.0
2016-08-09,25560.0
2016-08-10,25470.0
2016-08-11,25470.0
2016-08-12,25570.0
2016-08-16,25550.0
2016-08-17,25530.0
2016-08-18,25730.0
2016-08-19,25795.0
2016-08-22,25645.0
2016-08-23,25780.0
2016-08-24,25660.0
2016-08-25,25670.0
2016-08-26,25610.0
2016-08-29,25580.0
2016-08-30,25715.0
2016-08-31,25620.0
2016-09-01,25535.0
2016-09-02,25595.0
2016-09-05,25920.0
2016-09-06,26025.0
2016-09-07,25965.0
2016-09-08,25935.0
2016-09-09,25655.0
2016-09-12,25035.0
2016-09-13,25120.0
2016-09-19,25360.0
2016-09-20,25415.0
2016-09-21,25590.0
2016-09-22,25795.0
2016-09-23,25770.0
2016-09-26,25695.0
2016-09-27,25880.0
2016-09-28,25800.0
2016-09-29,25980.0
2016-09-30,25700.0
2016-10-04,25855.0
2016-10-05,25840.0
2016-10-06,26035.0
2016-10-07,25960.0
2016-10-10,25985.0
2016-10-11,25595.0
2016-10-12,25610.0
2016-10-13,25370.0
2016-10-14,25520.0
2016-10-17,25560.0
2016-10-18,25715.0
2016-10-19,25745.0
2016-10-20,25765.0
2016-10-21,25660.0
2016-10-24,25855.0
2016-10-25,25800.0
2016-10-26,25520.0
2016-10-27,25605.0
2016-10-28,25645.0
2016-10-31,25545.0
2016-11-01,25580.0
2016-11-02,25250.0
2016-11-03,25325.0
