Date,close,adj_close
2008.4.14,678000,13560
2008.4.15,658000,13160
2008.4.16,651000,13020
2008.4.17,661000,13220
2008.4.18,665000,13300
2008.4.21,674000,13480
2008.4.22,675000,13500
2008.4.23,653000,13060
2008.4.24,661000,13220
2008.4.25,690000,13800
2008.4.28,716000,14320
2008.4.29,710000,14200
2008.4.30,711000,14220
2008.5.2,731000,14620
2008.5.6,745000,14900
2008.5.7,741000,14820
2008.5.8,728000,14560
2008.5.9,709000,14180
2008.5.13,735000,14700
2008.5.14,738000,14760
2008.5.15,764000,15280
2008.5.16,760000,15200
2008.5.19,728000,14560
2008.5.20,713000,14260
2008.5.21,718000,14360
2008.5.22,713000,14260
2008.5.23,707000,14140
2008.5.26,679000,13580
2008.5.27,702000,14040
2008.5.28,692000,13840
2008.5.29,730000,14600
2008.5.30,741000,14820
2008.6.2,726000,14520
2008.6.3,704000,14080
2008.6.4,713000,14260
2008.6.5,709000,14180
2008.6.9,686000,13720
2008.6.10,666000,13320
2008.6.11,681000,13620
2008.6.12,663000,13260
2008.6.13,674000,13480
2008.6.16,691000,13820
2008.6.17,688000,13760
2008.6.18,704000,14080
2008.6.19,675000,13500
2008.6.20,668000,13360
2008.6.23,658000,13160
2008.6.24,659000,13180
2008.6.25,655000,13100
2008.6.26,665000,13300
2008.6.27,643000,12860
2008.6.30,625000,12500
2008.7.1,636000,12720
2008.7.2,630000,12600
2008.7.3,633000,12660
2008.7.4,616000,12320
2008.7.7,614000,12280
2008.7.8,593000,11860
2008.7.9,575000,11500
2008.7.10,560000,11200
2008.7.11,568000,11360
2008.7.14,567000,11340
2008.7.15,553000,11060
2008.7.16,561000,11220
2008.7.17,584000,11680
2008.7.18,582000,11640
2008.7.21,599000,11980
2008.7.22,590000,11800
2008.7.23,587000,11740
2008.7.24,614000,12280
2008.7.25,576000,11520
2008.7.28,560000,11200
2008.7.29,544000,10880
2008.7.30,548000,10960
2008.7.31,564000,11280
2008.8.1,565000,11300
2008.8.4,565000,11300
2008.8.5,567000,11340
2008.8.6,587000,11740
2008.8.7,578000,11560
2008.8.8,573000,11460
2008.8.11,585000,11700
2008.8.12,595000,11900
2008.8.13,587000,11740
2008.8.14,580000,11600
2008.8.18,579000,11580
2008.8.19,564000,11280
2008.8.20,560000,11200
2008.8.21,553000,11060
2008.8.22,557000,11140
2008.8.25,560000,11200
2008.8.26,540000,10800
2008.8.27,530000,10600
2008.8.28,521000,10420
2008.8.29,516000,10320
2008.9.1,506000,10120
2008.9.2,517000,10340
2008.9.3,527000,10540
2008.9.4,514000,10280
2008.9.5,520000,10400
2008.9.8,543000,10860
2008.9.9,536000,10720
2008.9.10,542000,10840
2008.9.11,537000,10740
2008.9.12,543000,10860
2008.9.16,525000,10500
2008.9.17,525000,10500
2008.9.18,517000,10340
2008.9.19,558000,11160
2008.9.22,558000,11160
2008.9.23,560000,11200
2008.9.24,564000,11280
