Date,Mkt,SMB,HML,Rf
1988.12.15,-0.015645674,0.012898783,0.012443616,0.000345674
1988.12.16,-0.00753839,-0.005283278,0.005085385,0.00033839
1988.12.17,0.005936175,-0.003511702,0.001522989,0.000363825
1988.12.19,0.00996161,-0.007878252,-0.011105597,0.00033839
1988.12.20,-0.020131093,0.008632244,0.005483767,0.000331093
1988.12.21,0.000694552,-0.008581742,0.003468597,0.000305448
1988.12.22,-0.009887028,0.000443717,0.003088618,0.000287028
1988.12.23,-0.01639629,0.000977473,0.004021447,0.00039629
1988.12.24,0.009410902,-0.011888474,-0.005511827,0.000389098
1988.12.26,0.024314502,-0.013333311,-0.000854455,0.000385498
1989.1.4,0.013318106,-0.01939272,-0.017225961,0.000381894
1989.1.5,-0.002652944,0.001737254,0.003646078,0.000352944
1989.1.6,0.002724065,-0.006816136,0.002152278,0.000275935
1989.1.7,-0.001061097,0.005677791,0.006610898,0.000261097
1989.1.9,-0.019720122,0.009789096,0.008247087,0.000320122
1989.1.10,-0.00569809,0.003670389,-0.001169827,0.00029809
1989.1.11,-0.013834743,0.005606369,-0.00775839,0.000334743
1989.1.12,0.004857967,-0.001133128,-0.01137247,0.000342033
1989.1.13,-0.003142033,9.82E-05,-0.002441437,0.000342033
1989.1.14,0.020950689,-0.011770923,-0.002629409,0.000349311
1989.1.16,-0.021363825,0.008270828,-0.000166247,0.000363825
1989.1.17,-0.005763825,0.00194825,0.003823301,0.000363825
1989.1.18,-0.016952944,0.002530338,0.005352343,0.000352944
1989.1.19,-0.005012792,0.004467433,-0.000378625,0.000312792
1989.1.20,0.005990879,0.000283653,-0.00111667,0.000309121
1989.1.21,-0.004487028,0.003068583,-0.001150239,0.000287028
1989.1.23,-0.002645674,-0.002683798,0.000528891,0.000345674
1989.1.24,-0.008342033,0.00265511,-0.004728823,0.000342033
1989.1.25,0.002547056,-0.001317382,-0.001504255,0.000352944
1989.1.26,0.003236175,-0.000804678,0.000897206,0.000363825
1989.1.27,0.014118106,-0.00419725,-0.007657388,0.000381894
1989.1.28,-0.005192696,0.006755409,-0.001148562,0.000392696
1989.1.30,0.012889365,-0.001603433,-0.003307732,0.000410635
1989.1.31,0.00296083,0.001652381,-0.000552324,0.00043917
1989.2.1,0.002250182,0.003936447,0.006389413,0.000449818
1989.2.2,-0.009631093,0.006319336,-0.000287641,0.000331093
