Date,adj_close,Mkt,SMB,HML,RMW,CMA,MOM,Rf
2005.5.23,9960,-0.001328462,0.003350883,-0.003306862,0.000884082,0.003162816,0.008347856,0.000128462
2005.5.24,9900,0.000471538,-0.002898207,-0.004780681,0.005608004,0.002081696,0.004899119,0.000128462
2005.5.25,9690,-0.010928462,0.00528676,0.001785609,0.005107893,-0.00229409,0.001580838,0.000128462
2005.5.26,9640,0.002671922,0.002307567,-0.007293302,0.016204011,0.009020009,0.000833307,0.000128078
2005.5.27,9800,0.017871922,-0.006990897,-0.003454044,0.002703948,-0.000631179,0.007486952,0.000128078
2005.5.30,9870,0.008371538,0.003837342,-0.003487818,0.004241477,-0.007648,-0.003269337,0.000128462
2005.5.31,9780,0.001071538,1.74E-06,0.001476263,0.006044784,0.000517667,0.008088721,0.000128462
2005.6.1,9780,-0.000828078,0.001013065,0.002154371,0.002927108,-0.001497947,0.000386367,0.000128078
2005.6.2,9750,0.001272306,0.007461138,-0.00059719,-0.002579266,0.003295633,0.006486733,0.000127694
2005.6.3,9760,0.005274997,0.003076909,-0.007161234,0.004928932,0.005016319,0.003758689,0.000125003
2005.6.7,9610,-0.005428078,0.013333645,-0.008087851,0.004910567,0.001355591,0.00615176,0.000128078
2005.6.8,9550,0.005372306,-0.006246429,0.005867873,0.011467675,0.003301942,0.003654611,0.000127694
2005.6.9,9600,0.011471922,-0.00871171,0.007190954,0.006190736,0.003125153,0.008121501,0.000128078
2005.6.10,9830,0.003171922,0.00317152,0.011992855,-0.010987656,0.00425477,-0.012224012,0.000128078
2005.6.13,9960,-0.000428078,0.009493676,-0.000936704,-0.001202932,-0.001752218,-0.007479374,0.000128078
2005.6.14,9930,-0.006928078,0.000126965,0.003422727,-0.01252411,0.000357295,-0.007554544,0.000128078
2005.6.15,10000,0.018372306,-0.007772683,0.010022238,0.00297333,0.003788149,0.007395125,0.000127694
2005.6.16,9970,0.001072306,0.006985399,-0.004821813,0.001352013,-0.005161687,0.007667664,0.000127694
2005.6.17,9870,0.000372691,0.003910366,0.002487537,0.000547895,0.000747786,0.002580087,0.000127309
2005.6.20,9810,-0.009127694,0.009235547,-0.006905679,0.003361204,0.000509738,-0.003567187,0.000127694
2005.6.21,9760,-0.004825387,0.003498449,0.004573181,-0.003231583,0.003865169,0.000897492,0.000125387
2005.6.22,9860,0.012171154,-0.003924786,0.013126415,0.002566647,0.002761897,0.007243157,0.000128846
2005.6.23,9960,0.008472306,3.47E-05,0.014006028,0.009546122,0.011082649,0.009420663,0.000127694
2005.6.24,9820,-0.008427694,0.009636914,0.006069256,0.003806698,-0.003852863,0.007000678,0.000127694
2005.6.27,9770,-0.011427694,0.013598932,-0.007527839,0.002882882,-0.002489887,-0.00520113,0.000127694
2005.6.28,9790,0.003572691,0.000265746,0.000167217,-0.001614463,-0.001269648,-0.002846867,0.000127309
2005.6.29,9800,0.004273075,0.002807168,-0.002418971,0.001042742,0.004289823,0.003646784,0.000126925
2005.6.30,9880,0.008971538,0.000336726,0.005486303,0.000502556,-0.00013756,0.005592151,0.000128462
2005.7.1,10020,0.009673075,0.001873024,0.013131588,-0.001774701,0.002673077,-0.001010404,0.000126925
2005.7.4,10060,0.003473459,0.015989346,0.001729772,0.001744059,-0.001979859,0.004557875,0.000126541
2005.7.5,10040,-0.002925772,0.015851506,-0.00721713,0.004219088,-0.001612235,-0.000319488,0.000125772
2005.7.6,10080,7.65E-05,0.015744195,-0.008308917,-0.00419448,-0.004572614,-0.003770547,0.000123464
2005.7.7,10320,0.007581155,0.00201004,-0.003430292,-0.000443127,-0.001048392,-0.005977344,0.000118845
2005.7.8,10320,-0.00482154,-0.001145835,-0.011053535,0.003354059,0.001059205,-0.00401073,0.00012154
2005.7.11,10660,0.017974997,-0.00266737,-0.002226008,0.003425288,0.006945948,-0.001653427,0.000125003
2005.7.12,10820,0.003175382,-0.004281148,0.006635824,-0.007119958,4.18E-05,-0.008801545,0.000124618
2005.7.13,10940,0.005872691,-0.000522955,-0.002176801,0.001681173,0.00337014,6.80E-05,0.000127309
2005.7.14,10940,0.011072306,0.000171997,0.002542733,0.009617441,0.000489241,0.008222504,0.000127694
2005.7.15,10840,-0.002327309,0.004104403,0.005013881,0.005239844,0.002664799,0.004683076,0.000127309
2005.7.18,10980,0.002572691,0.010805965,0.000840947,0.001515812,0.009071931,-0.00248976,0.000127309
2005.7.19,11220,0.012172691,-0.00153622,0.000727764,0.003694519,0.00827008,-0.002385702,0.000127309
2005.7.20,11160,-0.001127309,-0.009530984,0.009468066,-0.000302418,-0.003248503,-0.005316009,0.000127309
2005.7.21,11260,7.42E-05,0.000932861,0.007899012,-0.004156374,0.002806415,-0.002254731,0.000125772
2005.7.22,11040,-0.000530767,-0.002108303,0.012494745,-0.002638851,-0.005138118,0.002263142,0.000130767
2005.7.25,11100,0.014271922,0.003816445,0.014863967,0.001422188,0.003916841,0.004268811,0.000128078
2005.7.26,11020,0.000672306,0.010751964,0.005072852,0.008527067,0.007444039,0.001788345,0.000127694
2005.7.27,11020,0.002072306,0.009804455,-0.00480702,0.005776465,0.002264476,0.002781105,0.000127694
2005.7.28,11200,0.010572306,0.000309022,-0.004129287,-0.004103493,-0.002637554,-0.001932411,0.000127694
2005.7.29,11300,0.005772306,-0.000827252,-0.002699752,-0.000252452,0.000966872,0.000145024,0.000127694
2005.8.1,11380,0.004072306,-0.001501672,-0.000366978,0.009975983,-0.006784019,-0.002418829,0.000127694
2005.8.2,11360,0.002472691,-0.004402329,0.001533774,-7.02E-05,-0.004874444,0.007305251,0.000127309
2005.8.3,11360,-0.001627309,-0.008958004,0.011264683,-0.006016993,-0.003218781,-0.002916404,0.000127309
2005.8.4,11320,-0.005227694,-0.020130196,0.010016089,-0.007315732,-0.015364251,-0.007200069,0.000127694
2005.8.5,11060,-0.019927694,-0.011472219,-0.005400657,-0.002941283,-0.00173643,-0.000792226,0.000127694
2005.8.8,11020,-0.002626925,-0.001139479,0.004441713,-0.00402146,-0.005210925,0.003313843,0.000126925
2005.8.9,11000,0.011973075,0.003682943,0.003790208,0.004982742,6.65E-05,0.008007413,0.000126925
2005.8.10,11100,0.004472691,0.009537772,-0.006198947,0.004688033,-0.004877834,0.002003634,0.000127309
2005.8.11,11340,0.016973075,-0.008044427,-0.005022012,0.001952729,0.004474884,-0.006378645,0.000126925
2005.8.12,11560,0.005573075,-0.00362061,0.001260401,-0.005244306,-0.001254275,2.25E-05,0.000126925
2005.8.16,11440,-0.011926541,0.002151295,-0.001285939,0.003376854,-0.000981044,0.000441513,0.000126541
2005.8.17,11440,-0.003426541,-7.27E-06,-0.009410514,-0.002366601,0.006563728,-0.004826146,0.000126541
2005.8.18,11100,-0.018626541,0.003591427,0.011459193,0.000849805,0.002640343,-0.000846936,0.000126541
2005.8.19,11060,-0.002725772,0.006870533,-0.008474298,0.004383578,-0.0019048,-0.003961146,0.000125772
2005.8.22,11260,0.024475382,-0.006036255,0.003476769,0.00054645,0.002214193,0.006581177,0.000124618
2005.8.23,11240,-0.000926156,0.005517348,0.000124771,0.003371188,-0.001291005,0.001529257,0.000126156
